;Register address;Field;Type;Accuracy;Unit;Min;Max;Read/Write;Remarks;User;;;
General;;;;;;;;;;;;;
;0040;AddressMask_General1;U64;;;;;R;"The validity of 64 addresses above the address range (including the address of this partition) corresponding to each bit of this partition.
0 means invalid; 1 means valid.";End User;;;
;0041;;;;;;;;;End User;;;
;0042;;;;;;;;;End User;;;
;0043;;;;;;;;;End User;;;
;0044;Modbus_Protocol_Version;BCD16;;;1,06;99,99;R;"Version number of this protocol. The protocol version number corresponds to the version number in the cover of this protocol.
Bits 0-7 represent the minor version number, bits 0-3 represent the low version number, and bits 4-7 represent the high version number. Bits 8-15 represent the major version number, of which bits 8-11 represent the low-order version number, and bits 12-15 represent the high-order version number.
Example: The value 0x1234 indicates that the protocol version number is 12.34";End User;;;
;0045;COMM_MCU_Code;ASCII;;;;;R;"Communication chip code.
Refer to the chip coding specification, not open to modify.
Example: 0x4730 means ""G0""";End User;;;
;0046;CTRL1_MCU_Code;ASCII;;;;;R;"No. 1 control chip code.
Refer to the chip coding specification, not open to Modify.
Example: 0x4730 means ""G0""";End User;;;
;0047;CTRL2_MCU_Code;ASCII;;;;;R;"No. 2 control chip code name.
Refer to the chip coding specification, not open to Modify.
Example: 0x4730 means ""G0""";End User;;;
;0048;MCU_Code_Rsvd1;;;;;;;;;;;
;0049;MCU_Code_Rsvd2;;;;;;;;;;;
;004A;MCU_Code_Rsvd3;;;;;;;;;;;
;004B;MCU_Code_Rsvd4;;;;;;;;;;;
;004C;MCU_Code_Rsvd5;;;;;;;;;;;
;004D;MCU_Code_Rsvd6;;;;;;;;;;;
;004E;MCU_Code_Rsvd7;;;;;;;;;;;
;004F;MCU_Code_Rsvd8;;;;;;;;;;;
;0050;MCU_Code_Rsvd9;;;;;;;;;;;
;0051;MCU_Code_Rsvd10;;;;;;;;;;;
;0052;MCU_Code_Rsvd11;;;;;;;;;;;
;0053;MCU_Code_Rsvd12;;;;;;;;;;;
;0054;MCU_Code_Rsvd13;;;;;;;;;;;
;0055;;;;;;;;;;;;
;0056;;;;;;;;;;;;
;0057;;;;;;;;;;;;
;0058;;;;;;;;;;;;
;0059;;;;;;;;;;;;
;005A;;;;;;;;;;;;
;005B;;;;;;;;;;;;
;005C;;;;;;;;;;;;
;005D;;;;;;;;;;;;
;005E;;;;;;;;;;;;
;005F;;;;;;;;;;;;
;0060;;;;;;;;;;;;
;0061;;;;;;;;;;;;
;0062;;;;;;;;;;;;
;0063;;;;;;;;;;;;
;0064;;;;;;;;;;;;
;0065;;;;;;;;;;;;
;0066;;;;;;;;;;;;
;0067;;;;;;;;;;;;
;0068;;;;;;;;;;;;
;0069;;;;;;;;;;;;
;006A;;;;;;;;;;;;
;006B;;;;;;;;;;;;
;006C;;;;;;;;;;;;
;006D;;;;;;;;;;;;
;006E;;;;;;;;;;;;
;006F;;;;;;;;;;;;
;0070;;;;;;;;;;;;
;0071;;;;;;;;;;;;
;0072;;;;;;;;;;;;
;0073;;;;;;;;;;;;
;0074;;;;;;;;;;;;
;0075;;;;;;;;;;;;
;0076;;;;;;;;;;;;
;0077;;;;;;;;;;;;
;0078;;;;;;;;;;;;
;0079;;;;;;;;;;;;
;007A;;;;;;;;;;;;
;007B;;;;;;;;;;;;
;007C;;;;;;;;;;;;
;007D;;;;;;;;;;;;
;007E;;;;;;;;;;;;
;007F;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
 Real time data (0x0400-0x07FF);;;;;;;;;;;;;
System info (0x0400-0x047F);;;;;;;;;;;;;
;0400;AddressMask_Realtime_SysInfo1;U64;;;;;R;"The validity of 64 addresses above the address range (including the address of this partition) corresponding to each bit of this partition.
0 means invalid; 1 means valid.";End User;;;
;0401;;;;;;;;;End User;;;
;0402;;;;;;;;;End User;;;
;0403;;;;;;;;;End User;;;
;0404;SysState;U16;;;;;R;"Operating status
0: waiting state
1: Detection status
2: Grid-connected status
3: Emergency power supply status
4: Recoverable fault state
5: Permanent fault status
6: Upgrade status
7: Self-charging status";End User;;;
;0405;Fault1;U16;;;;;R;Fault information table 1;End User;;;
;0406;Fault2;U16;;;;;R;Fault information table 2;End User;;;
;0407;Fault3;U16;;;;;R;Fault information table 3;End User;;;
;0408;Fault4;U16;;;;;R;Fault information table 4;End User;;;
;0409;Fault5;U16;;;;;R;Fault information table 5;End User;;;
;040A;Fault6;U16;;;;;R;Fault information table 6;End User;;;
;040B;Fault7;U16;;;;;R;Fault information table 7;End User;;;
;040C;Fault8;U16;;;;;R;Fault information table 8;End User;;;
;040D;Fault9;U16;;;;;R;Fault information table 9;End User;;;
;040E;Fault10;U16;;;;;R;Fault information table 10;End User;;;
;040F;Fault11;U16;;;;;R;Fault information table 11;End User;;;
;0410;Fault12;U16;;;;;R;Fault information table 12;End User;;;
;0411;Fault13;U16;;;;;R;Fault information table 13;End User;;;
;0412;Fault14;U16;;;;;R;Fault information table 14;End User;;;
;0413;Fault15;U16;;;;;R;Fault information table 15;End User;;;
;0414;Fault16;U16;;;;;R;Fault information table 16;End User;;;
;0415;Fault17;U16;;;;;R;Fault information table 17;End User;;;
;0416;Fault18;U16;;;;;R;Fault information table 18;End User;;;
;0417;Countdown;U16;1;seconds;;;R;Power-on countdown;End User;;;
;0418;Temperature_Env1;I16;1;℃;;;R;Ambient temperature 1;End User;;;
;0419;Temperature_Env2;I16;1;℃;;;R;Ambient temperature 2;End User;;;
;041A;Temperature_HeatSink1;I16;1;℃;;;R;Radiator temperature 1;End User;;;
;041B;Temperature_HeatSink2;I16;1;℃;;;R;Radiator temperature 2;End User;;;
;041C;Temperature_HeatSink3;I16;1;℃;;;R;Radiator temperature 3;End User;;;
;041D;Temperature_HeatSink4;I16;1;℃;;;R;Radiator temperature 4;End User;;;
;041E;Temperature_HeatSink5;I16;1;℃;;;R;Radiator temperature 5;End User;;;
;041F;Temperature_HeatSink6;I16;1;℃;;;R;Radiator temperature 6;End User;;;
;0420;Temperature_Inv1;I16;1;℃;;;R;Module temperature 1;End User;;;
;0421;Temperature_Inv2;I16;1;℃;;;R;Module temperature 2;End User;;;
;0422;Temperature_Inv3;I16;1;℃;;;R;Module temperature 3;End User;;;
;0423;Temp_Rsvd1;I16;1;℃;;;R;Reserve temperature 1;End User;;;
;0424;Temp_Rsvd2;I16;1;℃;;;R;Reserve temperature 2;End User;;;
;0425;Temp_Rsvd3;I16;1;℃;;;R;Reserve temperature 3;End User;;;
;0426;GenerationTime_Today;U16;1;Minute;;;R;Day of power generation time;End User;;;
;0427;GenerationTime_Total;U32;1;Minute;;;R;Total power generation time;End User;;;
;0428;;;;;;;;;;;;
;0429;ServiceTime_Total;U32;1;Minute;;;R;Total running time;End User;;;
;042A;;;;;;;;;;;;
;042B;InsulationResistance;U16;1;kΩ;;;R;Insulation resistance;End User;;;
;042C;SysTime_Year;U16;;;;;R;System time-year;End User;;;
;042D;SysTime_Month;U16;;;;;R;System time-month;End User;;;
;042E;SysTime_Date;U16;;;;;R;System Time-Daily Minutes;End User;;;
;042F;SysTime_Hour;U16;;;;;R;System time-hour;End User;;;
;0430;SysTime_Minute;U16;;;;;R;System time-minutes;End User;;;
;0431;SysTime_Second;U16;;;;;R;System time-second;End User;;;
;0432;Fault19;U16;;;;;R;Fault message table 19;End User;;;
;0433;Fault20;U16;;;;;R;Fault information table 20;End User;;;
;0434;Fault21;U16;;;;;R;Fault information table 21;End User;;;
;0435;Fault22;U16;;;;;R;Fault information table 22;End User;;;
;0436;Fault23;U16;;;;;R;Fault information table 23;End User;;;
;0437;Fault24;U16;;;;;R;Fault message table 24;End User;;;
;0438;Fault25;U16;;;;;R;Fault information table 25;End User;;;
;0439;Fault26;U16;;;;;R;Fault message table 26;End User;;;
;043A;Fault27;U16;;;;;R;Fault information table 27;End User;;;
;043B;;;;;;;;;;;;
;043C;;;;;;;;;;;;
;043D;;;;;;;;;;;;
;043E;;;;;;;;;;;;
;043F;;;;;;;;;;;;
;0440;AddressMask_Realtime_SysInfo2;U64;;;;;R;"Each Character corresponds to the validity of 64 addresses in this field, . Bit4 represents the address where the highest bit address(Plus 1) of this field located                                                             0 means invalid; 1 means valid.";End User;;;
;0441;;;;;;;;;End User;;;
;0442;;;;;;;;;End User;;;
;0443;;;;;;;;;End User;;;
;0444;Production_Code;U16;;;;;;Reversed;;;;
;0445;Serial_Number0;ASCII;;;;;R;The 1st and 2nd digits of the serial number. The High 8-bits store the 1st digit of Serial Number, The low 8-bits Store the 2nd digit of Serial number;End User;;;
;0446;Serial_Number1;ASCII;;;;;R;The 3rd and 4th digits of the serial number. The High 8-bits store the 3rd digit of Serial Number, The low 8-bits Store the 4th digit of Serial number;End User;;;
;0447;Serial_Number2;ASCII;;;;;R;The 5th and 6th digits of the serial number. The High 8-bits store the5th digit of Serial Number, The low 8-bit Store the 6th digit of Serial number;End User;;;
;0448;Serial_Number3;ASCII;;;;;R;The 7th and 8th digits of the serial number. The High 8-bits store the 7th digit of Serial Number, The low 8-bits Store the 8th digit of Serial number;End User;;;
;0449;Serial_Number4;ASCII;;;;;R;The 9th and 10th digits of the serial number. The High 8-bits store the 9th digit of Serial Number, The low 8-bits Store the 10th digit of Serial number;End User;;;
;044A;Serial_Number5;ASCII;;;;;R;The 11th and 12th digits of the serial number. The High 8-bits store the 11th digit of Serial Number, The low 8-bits Store the 12th digit of Serial number;End User;;;
;044B;Serial_Number6;ASCII;;;;;R;The 13th and 14th digits of the serial number. The High 8-bits store the 13th digit of Serial Number, The low 8-bits Store the 14th digit of Serial number;End User;;;
;044C;Serial_Number7;ASCII;;;;;R;The 15th and 16th digits of the serial number. The High 8-bits store the 15th digit of Serial Number, The low 8-bits Store the 16th digit of Serial number;End User;;;
;044D;Hardware_Version0;ASCII;;;;;R;The 1st and 2nd digits of the Hardware Version. The High 8-bits store the 1st digit of Serial Number, The low 8-bits Store the 2nd digit of Serial number;End User;;;
;044E;Hardware_Version1;ASCII;;;;;R;The 3rd and 4th digits of the Hardware Version. The High 8-bits store the 3rd digit of Serial Number, The low 8-bits Store the 4th digit of Serial number;End User;;;
;044F;Software_Version_Stage_COM;ASCII;;;;;R;Bits for communication chip's software version number. The lower 8 bits of the register store the ASCII code. The default value of the official version is'V'.;End User;;;
;0450;Software_Version_Major_COM;ASCII;;;;;R;Software version number  for Communication chip. For one system, the software version number  need to be consistent for all chips. The high 8 bits of the register store the higher digits. The low 8 bits of the register store the lower digits.;End User;;;
;0451;Software_Version_Custom_COM;ASCII;;;;;R;"Non-standard customization software version number for communication chip. The standard software version number should be""00"",For one system, the Non-standard customization  software version number  need to be consistent for all chips, otherwise it will consider as ""Fault"".  The high 8 bits of the register store the higher digits. The low 8 bits of the register store the lower digits.";End User;;;
;0452;Software_Version_Minor_COM;ASCII;;;;;R;"Subversion software number for communication chip. The high 8 bits of the register store the higher digits; The low 8 bits of the register store the lower digits.";End User;;;
;0453;Software_Version_Stage_Master;ASCII;;;;;R;"Bytes for main control chip's software version number, The lower 8 bits of the register store the ASCII code. The default value of the official version start with 'V'. The high 8 bits of the register store the higher digits; The low 8 bits of the register store the lower digits.";End User;;;
;0454;Software_Version_Major_Master;ASCII;;;;;R;"Software version number  for main control chip. For one system, the software version number  need to be consistent for all chips. The high 8 bits of the register store the higher digits; The low 8 bits of the register store the lower digits.";End User;;;
;0455;Software_Version_Custom_Master;ASCII;;;;;R;"Non-standard customization software version number for main control chip. The standard software version should be""00"",For one system, the Non-standard customization  software version number  need to be consistent for all chips, otherwise it will consider as ""Fault"".  The high 8 bits of the register store the higher digits; The low 8 bits of the register store the lower digits.";End User;;;
;0456;Software_Version_Minor_Master;ASCII;;;;;R;"software subversion number for main control chip. The high 8 bits of the register store the higher digits; The low 8 bits of the register store the lower digits.";End User;;;
;0457;Software_Version_Stage_Slave;ASCII;;;;;R;"Bits for Secondary control chip's software version number, The lower 8 bits of the register store the ASCII code. The default value of the official version is'V'.The high 8 bits of the register store the higher digits; The low 8 bits of the register store the lower digits.";End User;;;
;0458;Software_Version_Major_Slave;ASCII;;;;;R;"Software version number  for Secondary control chip. For one system, the software version number  need to be consistent for all chips. The high 8 bits of the register store the higher digits; The low 8 bits of the register store the lower digits.";End User;;;
;0459;Software_Version_Custom_Slave;ASCII;;;;;R;"Non-standard customization software version number for secondary control chip. The standard software version should be""00"",For one system, the Non-standard customization  software version number  need to be consistent for all chips, otherwise it will consider as ""Fault"".  The high 8 bits of the register store the higher digits; The low 8 bits of the register store the lower digits.";End User;;;
;045A;Software_Version_Minor_Slave;ASCII;;;;;R;"software subversion number for secondary control chip. The high 8 bits of the register store the higher digits; The low 8 bits of the register store the lower digits.";End User;;;
;045B;Safety_Version_Major;U16;;;;;R;main version number for Safety regulation library;End User;;;
;045C;Safety_version_Minor;U16;;;;;R;Sub-version number for Safety regulation library;End User;;;
;045D;Boot_Version_COM;U16;;;;;R;;End User;;;
;045E;Boot_Version_Master;U16;;;;;R;;End User;;;
;045F;Boot_Version_Slave;U16;;;;;R;;End User;;;
;0460;Safety_Firmware_Version_Stage;ASCII;;;;;R;"Safety certification software version number stage definition bit.
The lower 8 bits of the register store the ASCII code. The default value of the official version is'V'.
The high 8 bits of the register store the high digits;
The lower 8 bits of the register store the lower digits.";End User;;;
